76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76 57,83,36,92,3,47,48,65,2,43,80,8,89,20,54,88,4,19,94,91 55,49,19,3,8,58,68,47,62,10,42,35,74,45,24,18,20,89,13,61 41,53,32,45,0,91,55,84,3,51,47,2,18,22,43,42,73,21,7,75 55,42,18,96,24,87,97,22,91,79,77,19,98,57,74,49,21,44,65,7
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82 73,65,34,55,80,78,61,8,51,37,11,83,10,42,41,35,50,29,5,57 10,51,59,6,9,44,79,5,34,65,71,32,80,29,83,38,76,42,3,63 10,6,71,15,48,62,26,83,65,19,8,25,79,11,38,9,47,73,37,61 65,10,66,61,24,46,92,6,44,7,9,12,71,57,62,27,75,48,3,97
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81 55,61,10,57,83,45,65,40,98,66,71,44,35,73,42,58,94,34,6,79 83,10,49,42,61,51,19,48,55,45,88,91,22,71,8,62,52,44,36,15 83,74,68,9,38,10,57,76,61,34,29,49,69,82,44,12,8,72,36,7 55,61,57,10,42,9,92,68,20,35,52,83,44,65,23,8,46,74,25,73
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27 49,55,8,35,21,42,45,77,34,37,68,0,9,56,58,72,91,51,98,28 0,41,91,42,53,84,49,71,55,21,56,52,32,77,18,79,45,28,12,2 84,5,57,89,91,44,0,97,34,3,76,37,41,12,92,96,42,17,47,59 47,84,66,34,51,59,83,3,37,75,2,80,73,89,69,4,98,9,65,0
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73 72,90,49,80,77,95,44,79,43,16,31,0,50,10,12,15,85,71,45,55 59,44,10,55,72,14,24,90,61,66,39,42,97,92,89,91,56,11,7,5 92,91,54,90,47,61,42,94,66,88,55,24,14,7,20,44,26,6,53,10 92,24,26,9,54,6,36,95,44,87,88,85,72,81,27,57,56,65,7,25
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63 53,83,87,47,45,7,61,15,12,13,6,55,75,57,74,62,94,31,96,73 55,45,57,83,87,61,74,7,47,6,0,91,1,93,53,19,98,14,4,62 20,91,35,19,45,57,48,83,49,92,63,8,85,1,9,72,17,79,93,44 15,42,69,14,8,36,22,6,38,7,73,53,96,87,63,54,59,0,34,71
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64 65,68,34,94,12,3,14,18,90,89,77,8,10,9,72,71,27,62,26,6 89,57,47,19,32,52,29,30,42,83,82,9,98,17,0,15,71,59,63,38 29,10,44,37,91,92,72,89,83,34,68,41,3,9,5,6,71,57,82,14 65,57,80,37,83,29,78,54,94,73,75,48,50,6,71,34,5,72,18,84
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84 98,57,55,12,47,89,30,63,24,97,27,7,37,87,10,82,42,61,91,69 8,65,37,32,22,62,14,6,75,45,83,36,57,50,73,34,61,44,9,46 76,34,32,91,4,5,57,66,0,51,44,93,83,97,1,9,63,89,45,20 77,19,43,68,91,60,15,39,2,64,22,89,49,4,92,33,48,31,62,3
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79 82,89,98,34,77,61,49,55,19,65,3,31,47,38,27,69,24,73,97,68 85,42,90,92,50,44,48,49,16,54,77,56,6,10,72,33,88,65,37,55 55,82,42,98,31,49,61,39,57,63,5,1,86,79,85,35,69,37,77,34 98,55,34,44,78,65,61,80,82,57,73,29,5,54,6,18,14,72,83,63
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25 19,91,85,26,10,83,36,47,9,45,21,55,88,70,35,49,60,15,79,48 10,38,92,62,82,51,9,27,15,83,91,37,69,29,8,31,71,66,21,65 10,72,66,59,75,92,43,63,97,91,90,36,46,8,44,82,38,89,47,3 26,77,19,3,10,97,57,54,76,89,80,34,8,29,69,44,91,31,51,63
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47 54,34,73,94,44,85,16,72,78,52,5,57,65,90,79,48,50,69,19,89 42,24,73,59,94,65,63,35,0,52,13,61,44,98,70,89,90,77,87,47 48,61,50,24,65,12,90,79,42,97,94,49,96,98,71,74,88,6,57,92 3,88,77,90,49,48,55,76,25,71,60,57,47,19,91,27,65,15,98,35
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51 55,42,19,44,21,88,51,91,61,38,77,83,25,9,0,71,66,16,49,80 44,57,97,0,59,80,96,1,19,61,71,12,5,77,3,16,2,42,47,98 34,90,19,45,91,55,77,43,94,71,60,25,42,35,39,72,61,83,27,15 47,19,77,91,92,98,35,97,71,89,30,49,12,96,0,8,64,42,85,1
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83 3,89,34,12,19,48,10,57,73,63,42,91,92,9,8,47,45,76,69,93 48,10,91,47,77,6,79,41,57,44,37,76,98,49,90,4,52,26,71,50 36,70,6,48,29,54,60,73,65,26,76,15,57,77,28,3,34,61,59,52 61,65,42,77,85,70,10,74,83,13,98,36,34,1,92,72,15,12,56,55
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19 3,80,71,83,19,89,74,53,47,91,8,34,45,64,10,68,49,35,75,29 91,89,19,71,43,57,61,52,35,0,63,96,72,79,2,98,47,80,40,12 63,92,59,91,89,44,12,7,72,66,97,43,86,64,10,98,77,39,8,46 65,44,92,48,79,10,77,97,90,57,6,3,80,19,49,85,91,56,24,71
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67 15,79,42,41,54,52,57,50,48,14,70,47,49,10,29,98,95,25,2,23 89,19,98,26,61,42,55,91,49,79,57,14,71,73,65,68,34,10,24,3 55,47,63,10,89,24,3,33,98,42,14,74,61,46,19,79,82,68,83,92 44,54,89,10,29,72,34,42,49,80,16,14,68,55,76,32,90,36,38,83
